1,"[1.1486097894806748, 1.4901161193847656e-08, 0]"
0,"[-0.1175116454314474, 0.0]"
2,"[0.6605880883521859, -0.01078956488649856]"
3,"[-0.6191840552275688, 0.008571907357664032]"
5,"[-0.8253211607269056, 0.015567855606858472]"
6,"[0.4746978156399029, 0.009521755169752273]"
8,"[0.035565747616740716, 0.0025320851813012634]"
9,"[0.5010536950251014, 0.0015059604395559656]"
11,"[-1.085379972300487, 0.00198688947546398]"
12,"[-1.69097861683281, -0.002648337109256793]"
1,"[1.1486097894806748, 1.4901161193847656e-08, 0]"
0,"[-0.1175116454314474, 0.0]"
2,"[0.6486875142139401, -0.006735435642365147]"
3,"[-0.6280255308206846, 0.016329907661637815]"
5,"[-0.8248611949447276, 0.007237352089719696]"
6,"[0.4761154815228758, 0.01251548664924547]"
8,"[0.033759099238589045, 0.0010192886063765416]"
9,"[0.5080312742711505, 0.002616220987043525]"
11,"[-1.0714730197070805, 0.0014946426627803517]"
12,"[-1.6516782143777524, -0.001684013003826512]"
1,"[1.16083256499157, -0.0018186521908164454, 0]"
0,"[-0.1187971843108838, -0.02036919307452373]"
2,"[0.6433671950485171, -0.04093358415242193]"
3,"[-0.6271360927990755, 0.14755022042028046]"
5,"[-0.725791412837388, -0.24346027541356993]"
6,"[0.4754831860808359, 0.212772430465847]"
8,"[0.03667276811826133, 0.03886223041373295]"
9,"[0.542023968939571, -0.1014352011928207]"
11,"[-1.2013593356864676, 0.02690173447070534]"
12,"[-1.6992574061544319, 0.025447646994764227]"
1,"[1.2045746922699283, 0.0, 0]"
0,"[-0.2342174891337289, 0.0]"
2,"[0.5358858586231837, -0.006769821266786263]"
3,"[-0.5441162176803422, 0.013151832453746673]"
5,"[-0.6430763215568887, 0.0125438415811335]"
6,"[0.2465660201722556, 0.010796831431018544]"
8,"[-0.014851459515239735, 0.0008823164718256753]"
9,"[1.2127291361172354, 0.0025960029695333664]"
11,"[-0.6853546904349352, 0.0012426031760046784]"
12,"[-2.0892250426654906, -0.0019990125875444438]"
1,"[1.2045746922699283, 0.0, 0]"
0,"[-0.2342174891337289, 0.0]"
2,"[0.5324564652510295, -0.005587931630309161]"
3,"[-0.5454458695730311, 0.01613139049527942]"
5,"[-0.6416531436272298, -0.000649089259722556]"
6,"[0.2417252602035534, 0.007001660292305466]"
8,"[-0.016647136650481086, -0.00036134748552679605]"
9,"[1.228673618665062, 0.00541964048858151]"
11,"[-0.6662675780564511, 0.0007156708300229438]"
12,"[-2.093882941522131, -0.0018674929049502704]"
1,"[1.0821856131651701, -0.01355630314444107, 0]"
0,"[-0.2159848682160687, 0.00166389197531406]"
2,"[0.48829622356974706, -0.00031452669456971585]"
3,"[-0.5832710892116713, 0.06140463062854468]"
5,"[-0.6089720051046582, -0.5144177230427278]"
6,"[0.2294902086114893, 0.19201718855876915]"
8,"[-0.010635093704752253, -0.33339068664737803]"
9,"[0.9606547765981652, -2.7748097851952496]"
11,"[-0.9239636777417868, -0.041083730671680835]"
12,"[-2.1256927200109224, -0.006035689082529194]"
1,"[1.1527504411823675, 0.0, 0]"
0,"[-0.1899034478455561, 1.4901161193847656e-08]"
2,"[0.4590091193064302, -0.00613067257405595]"
3,"[-0.5856194041708729, 0.013856315775667193]"
5,"[-0.5049131147148382, 0.008537566312561756]"
6,"[0.016616762370748234, 0.003985037505739338]"
8,"[0.12176209690913753, -0.010006774735525375]"
9,"[0.6978310752538507, -0.013660766398200611]"
11,"[-2.224416430190742, 0.0005017106272615208]"
12,"[-2.1268837944873535, -0.0006296210282025114]"
1,"[1.1527504411823675, 0.0, 0]"
0,"[-0.1899034478455561, 1.4901161193847656e-08]"
2,"[0.4580163415840537, -0.005777101030501289]"
3,"[-0.586806434809873, 0.015702713808090168]"
5,"[-0.5059155202432825, -0.014973338110942268]"
6,"[0.012808241557510302, 0.0005790955737867957]"
8,"[0.12770452741773297, 0.009965897628930959]"
9,"[0.7128008566427688, -0.0060529258653445805]"
11,"[-2.2605549448668025, 0.001148975970078961]"
12,"[-2.1481392592595094, -0.0016742225442895123]"
1,"[1.1378105637642064, -0.004082048440581334, 0]"
0,"[-0.1873587706772385, 0.020373356266091054]"
2,"[0.47309167082625925, -0.02647094224604492]"
3,"[-0.5440066042899225, 0.12762078017981052]"
5,"[-0.5355934784778267, -0.4538405210849928]"
6,"[0.011435728400577619, 0.1309893240850515]"
8,"[0.31791295022692173, 0.29115155088505784]"
9,"[0.5504484789675684, 2.8924024193678655]"
11,"[-2.236913251882679, -0.03563715266149285]"
12,"[-1.9093331201047188, -0.09338127048982861]"
1,"[1.176005207095135, 0.0, 0]"
0,"[-0.09084659331552923, 1.4901161193847656e-08]"
2,"[0.43089877546963773, -0.005628071450428028]"
3,"[-0.4217550006818423, 0.015298684397418213]"
5,"[-0.3854147601591079, -0.00895137153712888]"
6,"[-0.10213237034311633, -0.004044551491476038]"
8,"[0.0773075676176322, 0.007320417112266975]"
9,"[0.14509649052165333, 0.01767685076975619]"
11,"[-2.535160167845623, 0.0012256014143394943]"
12,"[0.14369963489625348, -0.0021521588568762357]"
1,"[1.176005207095135, 0.0, 0]"
0,"[-0.09084659331552923, 1.4901161193847656e-08]"
2,"[0.4295273437957029, -0.005091240845996543]"
3,"[-0.41986872421478877, 0.014248232113684934]"
5,"[-0.3842842245674153, -0.016307891223202902]"
6,"[-0.10146231015679602, -0.004219213611152598]"
8,"[0.06878844700421087, 0.0017046811334992904]"
9,"[0.12125592325310629, 0.0025797337186807038]"
11,"[-2.5465693582054625, 0.0013470400730454934]"
12,"[0.20025572186695298, 0.00021648666213910128]"
1,"[1.1428650500565918, 0.003365163154780884, 0]"
0,"[-0.08906825870941963, -0.0007999998293317266]"
2,"[0.4295335537768668, 0.05512616098638513]"
3,"[-0.45054478696110845, 0.1702696791256232]"
5,"[-0.41070369507351856, -0.2835558667168291]"
6,"[-0.13080361008658742, -0.10874851962764745]"
8,"[0.05552239452726622, -0.10573522848594791]"
9,"[0.13358220182234412, 0.18426919991694826]"
11,"[-2.406804319225152, 0.0014869186637541502]"
12,"[0.18615863007730762, 0.04823640912496636]"
1,"[1.067416383278523, 0.0, 0]"
0,"[-0.09084655884315142, 0.0]"
2,"[0.592209580204393, -0.004863135204789641]"
3,"[-0.3398293323479622, 0.01716591559398832]"
5,"[-0.2658861847128388, -0.013218439729474863]"
6,"[-0.018785301588960374, -0.007023649617119256]"
8,"[0.14778573862358194, 0.0013807732116314943]"
9,"[-0.3160636004753975, 0.0004297534992603012]"
11,"[-2.264350445971123, 0.0019658836235604063]"
12,"[-0.7918020745833794, 7.219460357416079e-05]"
1,"[1.067416383278523, 0.0, 0]"
0,"[-0.09084655884315142, 0.0]"
2,"[0.5973165589076068, -0.006909972521984435]"
3,"[-0.3317810205418998, 0.010965647705703048]"
5,"[-0.2625253848117409, -0.011403857451549239]"
6,"[-0.009935978740232903, -0.0005775774559869651]"
8,"[0.15116878480996448, 0.005174313321362174]"
9,"[-0.32835603503338456, -0.004321986786968463]"
11,"[-2.261492722890073, 0.0018540398648327135]"
